Restuarant_Address_Id,Restuarant_Address,City,Region,Zip_Code,Restaurant_Id,Country_Alpha_Code,Restaurant_Address_Is_active,Restaurant_Address_Activated_Date,Restaurant_Address_Inactivated_Date
65,3333 George Street,Dublin,Dublin,D1 1AA,81,IND,TRUE,25-04-2017,
66,4444 High Street,Cork,Cork,C1 1AA,122,GBR,TRUE,30-08-2021,
67,5555 O'Connell Street,Galway,Galway,G1 1AA,28,GBR,FALSE,10-05-2019,15-12-2022
68,6666 Main Road,Limerick,Limerick,L1 1AA,69,GBR,TRUE,20-11-2016,
69,7777 Grafton Street,Waterford,Waterford,W1 1AA,125,GBR,TRUE,15-01-2022,
70,8888 Patrick Street,Killarney,Kerry,K1 1AA,117,GBR,TRUE,25-06-2018,
71,1111 MG Road,New Delhi,Delhi,110001,78,GBR,TRUE,30-06-2017,
72,2222 Lal Bagh Road,Bangalore,Karnataka,560001,77,IND,TRUE,01-12-2022,
73,3333 Park Street,Mumbai,Maharashtra,400001,137,GBR,TRUE,05-11-2019,
74,4444 SP Road,Hyderabad,Telangana,500001,71,GBR,FALSE,18-02-2020,30-11-2022
75,5555 MG Road,Chennai,Tamil Nadu,600001,22,GBR,TRUE,25-04-2017,
76,6666 Brigade Road,Kolkata,West Bengal,700001,38,GBR,TRUE,30-08-2021,
77,7777 MG Road,Jaipur,Rajasthan,302001,140,GBR,TRUE,10-05-2019,
78,8888 Civil Lines,Lucknow,Uttar Pradesh,226001,79,GBR,TRUE,10-12-2016,
79,9999 SP Road,Pune,Maharashtra,411001,95,GBR,TRUE,15-08-2020,
80,1111 Anna Salai,Chennai,Tamil Nadu,600006,89,GBR,FALSE,28-02-2018,10-07-2023
81,2222 MG Road,Delhi,Delhi,110005,88,GBR,TRUE,12-07-2017,
82,3333 Lal Bagh Road,Bangalore,Karnataka,560005,115,GBR,TRUE,01-12-2022,
83,4444 Park Street,Mumbai,Maharashtra,400005,81,GBR,TRUE,05-11-2019,
84,5555 SP Road,Hyderabad,Telangana,500005,141,GBR,TRUE,18-02-2020,
85,6666 MG Road,Chennai,Tamil Nadu,600009,141,IND,TRUE,25-04-2017,
86,7777 Brigade Road,Kolkata,West Bengal,700009,83,GBR,TRUE,30-08-2021,
87,8888 MG Road,Jaipur,Rajasthan,302009,37,GBR,TRUE,10-05-2019,
88,9999 Civil Lines,Lucknow,Uttar Pradesh,226009,95,GBR,TRUE,10-12-2016,
89,1111 SP Road,Pune,Maharashtra,411009,72,GBR,TRUE,15-08-2020,
90,2222 Anna Salai,Chennai,Tamil Nadu,600010,59,GBR,TRUE,28-02-2018,
91,123 Regent Street,London,Greater London,W1B 2EL,133,GBR,TRUE,15-06-2021,
92,456 Oxford Road,Manchester,Greater Manchester,M13 9PL,35,GBR,TRUE,20-09-2022,
93,789 Castle Street,Birmingham,West Midlands,B16 8FF,101,GBR,TRUE,10-12-2020,
94,111 Highfield Lane,Leeds,West Yorkshire,LS12 6EZ,12,IND,FALSE,25-09-2019,05-12-2021
95,222 Queen's Road,Glasgow,Glasgow City,G2 4NN,31,GBR,TRUE,30-07-2018,
96,333 George Street,Edinburgh,Edinburgh,EH12 5DZ,66,GBR,TRUE,05-02-2023,
97,444 Main Street,Bristol,Bristol,BS1 4HH,116,IND,TRUE,20-10-2017,
98,555 Victoria Road,Liverpool,Merseyside,L5 9LP,125,GBR,TRUE,15-12-2016,
99,666 Richmond Street,Newcastle,Tyne and Wear,NE1 7ER,33,GBR,TRUE,01-10-2021,
100,777 Corporation Road,Sheffield,South Yorkshire,S10 2GA,68,GBR,FALSE,28-05-2018,10-07-2023
101,888 Market Street,Nottingham,Nottinghamshire,NG1 6HY,89,IND,TRUE,12-08-2017,
102,999 Highfield Street,Southampton,Hampshire,SO14 0AB,70,GBR,TRUE,01-11-2022,
103,1111 Newport Street,Cardiff,Cardiff,CF10 3DD,83,GBR,TRUE,05-12-2019,
104,2222 Donegall Square East,Belfast,Belfast,BT1 4AB,114,GBR,TRUE,18-03-2020,
105,3333 George Street,Dublin,Dublin,D02 2YX,116,GBR,TRUE,25-06-2017,
106,4444 High Street,Cork,Cork,T12 AC9C,58,GBR,TRUE,30-09-2021,
107,5555 O'Connell Street,Galway,Galway,H91 XY19,147,GBR,TRUE,10-06-2019,
108,6666 Main Road,Limerick,Limerick,V94 H9CX,86,GBR,TRUE,20-12-2016,
109,7777 Grafton Street,Waterford,Waterford,X91 YY99,24,GBR,TRUE,15-02-2022,
110,8888 Patrick Street,Killarney,Kerry,V93 K0FE,114,GBR,FALSE,25-07-2018,10-03-2023
111,1111 MG Road,New Delhi,Delhi,110001,143,GBR,TRUE,30-06-2017,
112,2222 Lal Bagh Road,Bangalore,Karnataka,560001,125,IND,TRUE,01-12-2022,
113,3333 Park Street,Mumbai,Maharashtra,400001,53,GBR,TRUE,05-11-2019,
114,4444 SP Road,Hyderabad,Telangana,500001,47,GBR,TRUE,18-02-2020,
115,5555 MG Road,Chennai,Tamil Nadu,600001,34,GBR,TRUE,25-04-2017,
116,6666 Brigade Road,Kolkata,West Bengal,700001,42,GBR,TRUE,30-08-2021,
117,7777 MG Road,Jaipur,Rajasthan,302001,103,GBR,FALSE,10-05-2019,15-12-2022
118,8888 Civil Lines,Lucknow,Uttar Pradesh,226001,77,GBR,TRUE,10-12-2016,
119,9999 SP Road,Pune,Maharashtra,411001,55,GBR,TRUE,15-08-2020,
120,1111 Anna Salai,Chennai,Tamil Nadu,600006,85,GBR,TRUE,28-02-2018,
121,123 Regent Street,London,Greater London,W1B 2EL,46,GBR,TRUE,15-06-2021,
122,456 Oxford Road,Manchester,Greater Manchester,M13 9PL,139,GBR,TRUE,20-09-2022,
123,789 Castle Street,Birmingham,West Midlands,B16 8FF,55,GBR,TRUE,10-12-2020,
124,111 Highfield Lane,Leeds,West Yorkshire,LS12 6EZ,11,IND,TRUE,25-09-2019,
125,222 Queen's Road,Glasgow,Glasgow City,G2 4NN,79,GBR,TRUE,30-07-2018,
126,333 George Street,Edinburgh,Edinburgh,EH12 5DZ,9,GBR,TRUE,05-02-2023,
127,444 Main Street,Bristol,Bristol,BS1 4HH,66,GBR,FALSE,20-10-2017,15-09-2022
128,555 Victoria Road,Liverpool,Merseyside,L5 9LP,73,GBR,TRUE,15-12-2016,
129,666 Richmond Street,Newcastle,Tyne and Wear,NE1 7ER,84,GBR,TRUE,01-10-2021,
130,777 Corporation Road,Sheffield,South Yorkshire,S10 2GA,109,GBR,TRUE,28-05-2018,
131,888 Market Street,Nottingham,Nottinghamshire,NG1 6HY,46,IND,TRUE,12-08-2017,
132,999 Highfield Street,Southampton,Hampshire,SO14 0AB,104,IND,TRUE,01-11-2022,
133,1111 Newport Street,Cardiff,Cardiff,CF10 3DD,49,GBR,TRUE,05-12-2019,
134,2222 Donegall Square E,Belfast,Belfast,BT1 4AB,12,GBR,FALSE,18-03-2020,30-11-2022
135,3333 George Street,Dublin,Dublin,D02 2YX,149,IND,TRUE,25-06-2017,
136,4444 High Street,Cork,Cork,T12 AC9C,132,GBR,TRUE,30-09-2021,
137,5555 O'Connell Street,Galway,Galway,H91 XY19,72,GBR,TRUE,10-06-2019,
138,6666 Main Road,Limerick,Limerick,V94 H9CX,138,GBR,TRUE,20-12-2016,
139,7777 Grafton Street,Waterford,Waterford,X91 YY99,110,GBR,TRUE,15-02-2022,
140,8888 Patrick Street,Killarney,Kerry,V93 K0FE,109,IND,TRUE,25-07-2018,
141,1111 MG Road,New Delhi,Delhi,110001,137,GBR,TRUE,30-06-2017,
142,2222 Lal Bagh Road,Bangalore,Karnataka,560001,39,GBR,TRUE,01-12-2022,
143,3333 Park Street,Mumbai,Maharashtra,400001,14,GBR,TRUE,05-11-2019,
144,4444 SP Road,Hyderabad,Telangana,500001,23,GBR,TRUE,18-02-2020,
145,5555 MG Road,Chennai,Tamil Nadu,600001,83,IND,TRUE,25-04-2017,
146,6666 Brigade Road,Kolkata,West Bengal,700001,83,IND,TRUE,30-08-2021,
147,7777 MG Road,Jaipur,Rajasthan,302001,84,GBR,FALSE,10-05-2019,15-12-2022
148,8888 Civil Lines,Lucknow,Uttar Pradesh,226001,21,IND,TRUE,10-12-2016,
149,9999 SP Road,Pune,Maharashtra,411001,69,GBR,TRUE,15-08-2020,
150,1111 Anna Salai,Chennai,Tamil Nadu,600006,51,GBR,TRUE,28-02-2018,
